id,handle,followers_count,friends_count,isProxy
0,"tagesschau",3896098,324,0
1,"werderbremen",530334,515,0
2,"HNA_online",12342,1037,0
3,"boschmann",12335,564,0
4,"ciemalla",277,259,0
5,"Herr_Binder",41,64,0
6,"3Fragezeichen",8497,135,0
7,"dieternuhr",804158,48,0
8,"saltatiomortis",10701,9,0
9,"diktator",64388,1353,0
10,"gullyhexe",19,29,0
11,"stadtradio_goe",2830,16,0
12,"FrauMoppel",5,7,0
13,"Videodrama",51,180,0
14,"druidenwerk",2330,2068,0
15,"derPraesident",5,7,0
16,"goetageblatt",8863,486,0
17,"DFB_Team",3288459,239,0
18,"stadthallegoe",320,139,0
19,"goetemp",581,2,0
20,"SLucas332",6,12,0
21,"Nailbomb99",4,53,0
22,"handballwelt",13222,651,0
23,"GiTerrorist",10,8,0
24,"SaschaGrammel",9976,0,0
25,"Der_Postillon",1356553,188,0
26,"medotwillert",33,155,0
27,"JKashaar",8200,6993,0
28,"Snoopy",1242749,47,0
29,"JanJosefLiefers",252653,245,0
30,"YourAnonNews",8058926,919,0
31,"HansSarpei",431708,558,0
32,"BahnAnsagen",254968,153,0
33,"Schandmaul",6194,28,0
34,"TheRealSheldonC",416794,44,0
35,"mytallica",28,22,0
36,"cmdcool742",5,230,0
37,"hazelbrugger",393068,55,0
38,"elmo",400383,11,0
39,"TStraeter44149",158426,526,0
40,"LutzvanderHorst",199398,205,0
41,"pizarrinha",789965,1745,0
42,"DFB_Pokal",106259,87,0
43,"D86Koehler",3,12,0
44,"OscarTheGrouch",303360,10,0
45,"MeCookieMonster",600144,10,0
46,"KaiGieseking",12,134,0
47,"heuteshow",1573038,13,0
48,"c_drosten",996691,159,0
49,"bier_goettingen",2,6,0
50,"QuizKlussmann",9362,1456,0
51,"quizvulkan",3678,139,0
52,"Herz_Streuner",3346,139,0
53,"GoettingenStadt",172,0,0
54,"KruppaNat",36,121,0
55,"GefragtGejagt",6873,19,0
56,"Polizei_GOE",9962,268,0
57,"DerQuizgott",7276,145,0
58,"Quizdoktor",2776,81,0